t,x
0.0000000000,0.0000000000
0.0009424778,0.0000000000
0.0018849556,0.0000000008
0.0028274334,0.0000000033
0.0037699112,0.0000000084
0.0047123890,0.0000000167
0.0056548668,0.0000000293
0.0065973446,0.0000000469
0.0075398224,0.0000000703
0.0084823002,0.0000001005
0.0094247780,0.0000001381
0.0103672558,0.0000001842
0.0113097336,0.0000002394
0.0122522113,0.0000003047
0.0131946891,0.0000003809
0.0141371669,0.0000004688
0.0150796447,0.0000005693
0.0160221225,0.0000006831
0.0169646003,0.0000008112
0.0179070781,0.0000009544
0.0188495559,0.0000011134
0.0197920337,0.0000012892
0.0207345115,0.0000014826
0.0216769893,0.0000016944
0.0226194671,0.0000019254
0.0235619449,0.0000021766
0.0245044227,0.0000024486
0.0254469005,0.0000027425
0.0263893783,0.0000030589
0.0273318561,0.0000033988
0.0282743339,0.0000037629
0.0292168117,0.0000041522
0.0301592895,0.0000045674
0.0311017673,0.0000050094
0.0320442451,0.0000054790
0.0329867229,0.0000059771
0.0339292007,0.0000065044
0.0348716785,0.0000070619
0.0358141563,0.0000076504
0.0367566340,0.0000082707
0.0376991118,0.0000089236
0.0386415896,0.0000096100
0.0395840674,0.0000103307
0.0405265452,0.0000110866
0.0414690230,0.0000118784
0.0424115008,0.0000127071
0.0433539786,0.0000135734
0.0442964564,0.0000144783
0.0452389342,0.0000154224
0.0461814120,0.0000164068
0.0471238898,0.0000174321
0.0480663676,0.0000184993
0.0490088454,0.0000196092
0.0499513232,0.0000207626
0.0508938010,0.0000219603
0.0518362788,0.0000232032
0.0527787566,0.0000244922
0.0537212344,0.0000258280
0.0546637122,0.0000272115
0.0556061900,0.0000286435
0.0565486678,0.0000301249
0.0574911456,0.0000316565
0.0584336234,0.0000332392
0.0593761012,0.0000348737
0.0603185789,0.0000365609
0.0612610567,0.0000383017
0.0622035345,0.0000400968
0.0631460123,0.0000419472
0.0640884901,0.0000438537
0.0650309679,0.0000458170
0.0659734457,0.0000478380
0.0669159235,0.0000499176
0.0678584013,0.0000520566
0.0688008791,0.0000542558
0.0697433569,0.0000565161
0.0706858347,0.0000588383
0.0716283125,0.0000612232
0.0725707903,0.0000636717
0.0735132681,0.0000661846
0.0744557459,0.0000687628
0.0753982237,0.0000714070
0.0763407015,0.0000741181
0.0772831793,0.0000768970
0.0782256571,0.0000797445
0.0791681349,0.0000826613
0.0801106127,0.0000856484
0.0810530905,0.0000887066
0.0819955683,0.0000918368
0.0829380461,0.0000950396
0.0838805239,0.0000983161
0.0848230016,0.0001016670
0.0857654794,0.0001050931
0.0867079572,0.0001085953
0.0876504350,0.0001121744
0.0885929128,0.0001158314
0.0895353906,0.0001195668
0.0904778684,0.0001233818
0.0914203462,0.0001272769
0.0923628240,0.0001312532
0.0933053018,0.0001353114
0.0942477796,0.0001394523
0.0951902574,0.0001436769
0.0961327352,0.0001479859
0.0970752130,0.0001523801
0.0980176908,0.0001568604
0.0989601686,0.0001614277
0.0999026464,0.0001660827
0.1008451242,0.0001708263
0.1017876020,0.0001756593
0.1027300798,0.0001805826
0.1036725576,0.0001855970
0.1046150354,0.0001907033
0.1055575132,0.0001959023
0.1064999910,0.0002011950
0.1074424688,0.0002065821
0.1083849465,0.0002120644
0.1093274243,0.0002176428
0.1102699021,0.0002233181
0.1112123799,0.0002290912
0.1121548577,0.0002349629
0.1130973355,0.0002409339
0.1140398133,0.0002470053
0.1149822911,0.0002531776
0.1159247689,0.0002594520
0.1168672467,0.0002658290
0.1178097245,0.0002723096
0.1187522023,0.0002788947
0.1196946801,0.0002855849
0.1206371579,0.0002923813
0.1215796357,0.0002992845
0.1225221135,0.0003062954
0.1234645913,0.0003134150
0.1244070691,0.0003206439
0.1253495469,0.0003279830
0.1262920247,0.0003354332
0.1272345025,0.0003429952
0.1281769803,0.0003506700
0.1291194581,0.0003584583
0.1300619359,0.0003663610
0.1310044137,0.0003743789
0.1319468915,0.0003825129
0.1328893692,0.0003907636
0.1338318470,0.0003991321
0.1347743248,0.0004076192
0.1357168026,0.0004162255
0.1366592804,0.0004249521
0.1376017582,0.0004337996
0.1385442360,0.0004427690
0.1394867138,0.0004518611
0.1404291916,0.0004610767
0.1413716694,0.0004704166
0.1423141472,0.0004798816
0.1432566250,0.0004894727
0.1441991028,0.0004991905
0.1451415806,0.0005090360
0.1460840584,0.0005190100
0.1470265362,0.0005291133
0.1479690140,0.0005393467
0.1489114918,0.0005497111
0.1498539696,0.0005602072
0.1507964474,0.0005708360
0.1517389252,0.0005815982
0.1526814030,0.0005924946
0.1536238808,0.0006035262
0.1545663586,0.0006146937
0.1555088364,0.0006259979
0.1564513141,0.0006374397
0.1573937919,0.0006490199
0.1583362697,0.0006607394
0.1592787475,0.0006725989
0.1602212253,0.0006845993
0.1611637031,0.0006967414
0.1621061809,0.0007090260
0.1630486587,0.0007214540
0.1639911365,0.0007340262
0.1649336143,0.0007467434
0.1658760921,0.0007596064
0.1668185699,0.0007726161
0.1677610477,0.0007857733
0.1687035255,0.0007990789
0.1696460033,0.0008125335
0.1705884811,0.0008261382
0.1715309589,0.0008398936
0.1724734367,0.0008538006
0.1734159145,0.0008678601
0.1743583923,0.0008820729
0.1753008701,0.0008964397
0.1762433479,0.0009109615
0.1771858257,0.0009256390
0.1781283035,0.0009404731
0.1790707813,0.0009554646
0.1800132591,0.0009706142
0.1809557368,0.0009859229
0.1818982146,0.0010013915
0.1828406924,0.0010170208
0.1837831702,0.0010328115
0.1847256480,0.0010487646
0.1856681258,0.0010648809
